norm_id,source_id,scale,band_index,band_name,lower,upper,note
cn2013_parent_hyper,cn_sdq_parent_2013,SDQ 多动/注意力 Hyperactivity-Inattention(5题 0-10 标准计分),0,normal,0,6,"占大陆常模样本 84%。对应 targets.csv 的 sdq_hyper(题 2/10/15/21*/25*,已减1、反向题已翻转,0-10)。"
cn2013_parent_hyper,cn_sdq_parent_2013,SDQ 多动/注意力 Hyperactivity-Inattention(5题 0-10 标准计分),1,borderline,7,7,"占 8%(大陆本样本 80-90 百分位)。"
cn2013_parent_hyper,cn_sdq_parent_2013,SDQ 多动/注意力 Hyperactivity-Inattention(5题 0-10 标准计分),2,abnormal,8,10,"占 9%(>90 百分位)。同一条异常线被来源 B(Du 2008 上海家长版)独立给出,两源在多动上一致。"
cn2013_parent_emo,cn_sdq_parent_2013,SDQ 情绪 Emotional(5题 0-10 标准计分),0,normal,0,3,"对应 targets.csv 的 sdq_emo(题 3/8/13/16/24)。"
cn2013_parent_emo,cn_sdq_parent_2013,SDQ 情绪 Emotional(5题 0-10 标准计分),1,borderline,4,4,"大陆本样本 80-90 百分位。"
cn2013_parent_emo,cn_sdq_parent_2013,SDQ 情绪 Emotional(5题 0-10 标准计分),2,abnormal,5,10,">90 百分位。常模文自报本子量表 alpha=0.57。"
cn2013_parent_cond,cn_sdq_parent_2013,SDQ 品行 Conduct(5题 0-10 标准计分),0,normal,0,3,"对应 targets.csv 的 sdq_cond(题 5/7*/12/18/22)。"
cn2013_parent_cond,cn_sdq_parent_2013,SDQ 品行 Conduct(5题 0-10 标准计分),1,borderline,4,4,"大陆本样本 80-90 百分位。"
cn2013_parent_cond,cn_sdq_parent_2013,SDQ 品行 Conduct(5题 0-10 标准计分),2,abnormal,5,10,">90 百分位。常模文自报本子量表 alpha=0.50;CODEBOOK 2.1 在本数据上独立算出 conduct alpha=0.188。"
cn2013_parent_peer,cn_sdq_parent_2013,SDQ 同伴 Peer(常模按5题 0-10 标准计分),0,normal,0,4,"⚠️量表长度不一致:常模这套切点按【5 题 0-10】定,本数据 targets.csv 的 sdq_peer 只有【4 题 0-8】——原始临床表缺 SDQ19(被别的孩子欺负/取笑,CODEBOOK 2.1),40_targets.py 用题 6/11*/14*/23 求和。少一题使本数据分数系统性偏低,对照本档会把人往 normal 推。"
cn2013_parent_peer,cn_sdq_parent_2013,SDQ 同伴 Peer(常模按5题 0-10 标准计分),1,borderline,5,5,"同上:本数据 sdq_peer 只有 4 题(0-8),与本档的 5 题口径不可直接比。"
cn2013_parent_peer,cn_sdq_parent_2013,SDQ 同伴 Peer(常模按5题 0-10 标准计分),2,abnormal,6,10,"同上。另:常模文自报同伴子量表 alpha=0.22(该文全部子量表中最低)。"
cn2013_parent_pro,cn_sdq_parent_2013,SDQ 亲社会 Prosocial(5题 0-10 标准计分;反向量表),0,normal,5,10,"⚠️反向量表:分数【高】=亲社会行为好=normal。band_index 与分数高低不同向,读 target_labels.csv 时勿按'码越大分越高'理解。对应 targets.csv 的 sdq_pro(题 1/4/9/17/20)。"
cn2013_parent_pro,cn_sdq_parent_2013,SDQ 亲社会 Prosocial(5题 0-10 标准计分;反向量表),1,borderline,4,4,"反向量表,见 band_index=0 的说明。"
cn2013_parent_pro,cn_sdq_parent_2013,SDQ 亲社会 Prosocial(5题 0-10 标准计分;反向量表),2,abnormal,0,3,"反向量表:分数【低】=亲社会行为差=abnormal。"
cn2013_parent_totdiff,cn_sdq_parent_2013,SDQ 总困难 Total Difficulties(情绪+品行+多动+同伴;常模按20题 0-40),0,normal,0,16,"占 81%。⚠️量表长度不一致:常模按 20 题 0-40 定,本数据 targets.csv 的 sdq_totdiff 只有 19 题(0-38),因同伴子量表缺 SDQ19(见 cn2013_parent_peer)。少一题使总分系统性偏低。"
cn2013_parent_totdiff,cn_sdq_parent_2013,SDQ 总困难 Total Difficulties(情绪+品行+多动+同伴;常模按20题 0-40),1,borderline,17,18,"占 8%(80-90 百分位)。⚠️另一套大陆常模给的是不同的线:来源 B(Du Y/Kou J/Coghill D 2008,上海 n=1965,PMC2409296,家长版)边界=15-16、异常=17-40。两源不一致,故本表按 norm_id 分开存,规则用 source_id 指明用的是哪一套。"
cn2013_parent_totdiff,cn_sdq_parent_2013,SDQ 总困难 Total Difficulties(情绪+品行+多动+同伴;常模按20题 0-40),2,abnormal,19,40,"占 11%(>90 百分位)。与来源 B 的异常线 17 相差 2 分,见 band_index=1 的说明。"
