column,统计含义,证据层级,取值范围,由哪段代码产生,读它时必须知道的口径
target,本行结果对应的症状量表分数(结果表的分组键之一),标识列,字符串,10 个连续目标 + 10 个 __qbin 二分目标,"连续与二分是不同的 target 名,故互不混行"
type,本行属于连续目标还是二分目标,标识列,字符串,见 STEP 3 的唯一值,"决定哪些指标列有值:cont 行有 rho/loo_*,bin 行有 auc"
feature,本行结果对应的腕部信号特征(结果表的分组键之一),标识列,字符串,608 个,与 features.csv 的列名一一对应
rho,特征与目标的 Spearman 秩相关系数 = association effect size,效应量,"[-1, 1]","spearman(rank(x), rank(y)),44 号脚本 spearman() 函数","秩相关,只刻画【单调】关系;不是线性拟合优度,也不含任何预测含义"
perm_p,"置换检验 p 值:把目标分数随机打乱 100000 次后,|rho| 达到或超过实测值的比例",统计检验结果,"[1e-5, 1]","NPERM=100000,零分布收集 |spearman|;pval 下限被 clip 到 1/NPERM",【与 rho 不是两项独立证据】:它就是同一个 rho 在零分布里的极端程度。下限 1e-5 意味着更小的真实 p 无法分辨
q_fdr,对 perm_p 做 Benjamini-Hochberg 多重比较校正后的 FDR q 值,统计检验结果,"[0, 1]","44 号脚本 bh() 函数,按 R.groupby('target') 分族计算","族的定义 = 每个 target 各自一族(m=该 target 的行数)。同样【不是】独立于 perm_p 的第三项证据,是 perm_p 的单调变换"
loo_r2cv,留一交叉验证的 R²_cv = 1 - PRESS_model / PRESS_baseline,模型表现,"(-inf, 1]",loo_simple_lr();baseline = 留一均值预测,"【可为负】,负值代表该单特征线性模型的留一误差比『只用均值』还大。这是内部重抽样,【不是】独立 test set;> 0 【不等于】统计显著"
loo_rmse,留一预测的均方根误差 = sqrt(PRESS/n),模型表现,"[0, +inf)","loo_simple_lr(),n=24","单位 = 该量表分数的单位,故【不可跨 target 直接比较】"
loo_mae,留一预测的平均绝对误差 = mean(|loo residual|),模型表现,"[0, +inf)","loo_simple_lr(),n=24","同上,不可跨 target 直接比较"
rho_partial_uamag,"扣掉『运动总量』(uaMag_median)之后,特征与目标还剩多少秩相关 = 效应量的敏感性分析",效应量(敏感性分析),"[-1, 1]","对特征秩与目标秩各自对 rank(uaMag_median) 回归取残差,再求两残差的相关","【只对路径B的 45 列计算】,其余列为空 —— 空值代表 not applicable,不代表失败。此列【没有】配套的 p、q 或 LOOCV,故不能据此说『控制后显著』"
